SMILES,Formula,formula1,mz,Ref
O=CC(F)F,C2H2F2O,C2H2F2O1,79.00009112,EPA_Dashboard
OC(F)(F)F,CHF3O,C1H1F3O1,84.99066931,EPA_Dashboard
FC(F)(F)F,CF4,C1F4,86.98633288,EPA_Dashboard
O=C(O)C(F)F,C2H2F2O2,C2H2F2O2,94.99500574,EPA_Dashboard
O=CC(F)(F)F,C2HF3O,C2H1F3O1,96.99066931,EPA_Dashboard
[H]C([H])OC(F)(F)F,C2H3F3O,C2H3F3O1,99.00631938,EPA_Dashboard
FCC(F)(F)F,C2H2F4,C2H2F4,101.0019829,EPA_Dashboard
FC(F)C(F)F,C2H2F4,C2H2F4,101.0019829,EPA_Dashboard
N=C(N)C(F)(F)F,C2H3F3N2,C2H3F3N2,111.0175528,EPA_Dashboard
NC(=O)C(F)(F)F,C2H2F3NO,C2H2F3N1O1,112.0015683,EPA_Dashboard
O=C(O)C(F)(F)F,C2HF3O2,C2H1F3O2,112.9855839,EPA_Dashboard
FC1(F)CC1(F)F,C3H2F4,C3H2F4,113.0019829,EPA_Dashboard
C=C(F)C(F)(F)F,C3H2F4,C3H2F4,113.0019829,EPA_Dashboard
O=C(F)C(F)(F)F,C2F4O,C2F4O1,114.9812475,EPA_Dashboard
FC1(F)OC1(F)F,C2F4O,C2F4O1,114.9812475,EPA_Dashboard
CC(F)C(F)(F)F,C3H4F4,C3H4F4,115.017633,EPA_Dashboard
CC(F)(F)C(F)F,C3H4F4,C3H4F4,115.017633,EPA_Dashboard
[O]C(F)C(F)(F)F,C2HF4O,C2H1F4O1,115.9890725,EPA_Dashboard
FC(F)OC(F)F,C2H2F4O,C2H2F4O1,116.9968976,EPA_Dashboard
OC(F)(F)C(F)F,C2H2F4O,C2H2F4O1,116.9968976,EPA_Dashboard
F[C](F)C(F)(F)F,C2F5,C2F5,117.9847361,EPA_Dashboard
N#CC(F)(F)C(F)F,C3HF4N,C3H1F4N1,125.9972319,EPA_Dashboard
FC1(F)CCC1(F)F,C4H4F4,C4H4F4,127.017633,EPA_Dashboard
O=CC(F)(F)C(F)F,C3H2F4O,C3H2F4O1,128.9968976,EPA_Dashboard
FC1(F)CC(F)(F)O1,C3H2F4O,C3H2F4O1,128.9968976,EPA_Dashboard
NCC(F)(F)C(F)F,C3H5F4N,C3H5F4N1,130.028532,EPA_Dashboard
FC(=S)C(F)(F)F,C2F4S,C2F4S1,130.9584039,EPA_Dashboard
FC1C(F)(F)C1(F)F,C3HF5,C3H1F5,130.9925611,EPA_Dashboard
FC=C(F)C(F)(F)F,C3HF5,C3H1F5,130.9925611,EPA_Dashboard
CC(F)(F)C(O)(F)F,C3H4F4O,C3H4F4O1,131.0125476,EPA_Dashboard
COC(F)C(F)(F)F,C3H4F4O,C3H4F4O1,131.0125476,EPA_Dashboard
CC(F)(F)OC(F)F,C3H4F4O,C3H4F4O1,131.0125476,EPA_Dashboard
[O]OC(F)C(F)(F)F,C2HF4O2,C2H1F4O2,131.9839872,EPA_Dashboard
FC(F)C(F)C(F)F,C3H3F5,C3H3F5,133.0082112,EPA_Dashboard
FCC(F)C(F)(F)F,C3H3F5,C3H3F5,133.0082112,EPA_Dashboard
CC(F)(F)C(F)(F)F,C3H3F5,C3H3F5,133.0082112,EPA_Dashboard
FCC(F)(F)C(F)F,C3H3F5,C3H3F5,133.0082112,EPA_Dashboard
FC(F)C(F)(F)Cl,C2HClF4,C2H1Cl1F4,134.9630106,EPA_Dashboard
FC(Cl)C(F)(F)F,C2HClF4,C2H1Cl1F4,134.9630106,EPA_Dashboard
FC(F)OC(F)(F)F,C2HF5O,C2H1F5O1,134.9874758,EPA_Dashboard
NC(=O)C(F)(F)C(N)=O,C3H4F2N2O2,C3H4F2N2O2,137.0168038,EPA_Dashboard
O=C(O)C(F)(F)C(=O)O,C3H2F2O4,C3H2F2O4,138.984835,EPA_Dashboard
C=COC(=O)C(F)(F)F,C4H3F3O2,C4H3F3O2,139.001234,EPA_Dashboard
FC1(F)C=CCC1(F)F,C5H4F4,C5H4F4,139.017633,EPA_Dashboard
FC1(F)C2CC2C1(F)F,C5H4F4,C5H4F4,139.017633,EPA_Dashboard
CC1=CC(F)(F)C1(F)F,C5H4F4,C5H4F4,139.017633,EPA_Dashboard
C=C(C)C(F)(F)C(F)F,C5H6F4,C5H6F4,141.0332831,EPA_Dashboard
O=C(F)C(F)(F)C(=O)F,C3F4O2,C3F4O2,142.9761621,EPA_Dashboard
C=COC(F)(F)C(F)F,C4H4F4O,C4H4F4O1,143.0125476,EPA_Dashboard
FC1(F)COCC1(F)F,C4H4F4O,C4H4F4O1,143.0125476,EPA_Dashboard
OC1CC(F)(F)C1(F)F,C4H4F4O,C4H4F4O1,143.0125476,EPA_Dashboard
CC(=O)C(F)(F)C(F)F,C4H4F4O,C4H4F4O1,143.0125476,EPA_Dashboard
N#CC(F)(F)C(F)(F)F,C3F5N,C3F5N1,143.9878101,EPA_Dashboard
NC(=O)C(F)C(F)(F)F,C3H3F4NO,C3H3F4N1O1,144.0077966,EPA_Dashboard
O=C(O)C(F)C(F)(F)F,C3H2F4O2,C3H2F4O2,144.9918122,EPA_Dashboard
C=CC(F)(F)C(F)(F)F,C4H3F5,C4H3F5,145.0082112,EPA_Dashboard
FC1CC(F)(F)C1(F)F,C4H3F5,C4H3F5,145.0082112,EPA_Dashboard
COCC(F)(F)C(F)F,C4H6F4O,C4H6F4O1,145.0281977,EPA_Dashboard
CCOC(F)C(F)(F)F,C4H6F4O,C4H6F4O1,145.0281977,EPA_Dashboard
OCCC(F)(F)C(F)F,C4H6F4O,C4H6F4O1,145.0281977,EPA_Dashboard
CCOC(F)(F)C(F)F,C4H6F4O,C4H6F4O1,145.0281977,EPA_Dashboard
NNCC(F)(F)C(F)F,C3H6F4N2,C3H6F4N2,145.0394311,EPA_Dashboard
O=[N+]([O-])C(F)C(F)(F)F,C2HF4NO2,C2H1F4N1O2,145.9870612,EPA_Dashboard
O=CC(F)(F)C(F)(F)F,C3HF5O,C3H1F5O1,146.9874758,EPA_Dashboard
FC1C(F)(F)OC1(F)F,C3HF5O,C3H1F5O1,146.9874758,EPA_Dashboard
O=C(F)C(F)C(F)(F)F,C3HF5O,C3H1F5O1,146.9874758,EPA_Dashboard
CC(F)C(F)C(F)(F)F,C4H5F5,C4H5F5,147.0238613,EPA_Dashboard
O=NC(F)(F)C(F)(F)F,C2F5NO,C2F5N1O1,147.9827247,EPA_Dashboard
NC(F)(F)C(F)(F)CF,C3H4F5N,C3H4F5N1,148.0191102,EPA_Dashboard
O=S(=O)(O)C(F)(F)F,CHF3O3S,C1H1F3O3S1,148.9525696,EPA_Dashboard
CC(F)(F)C(F)(F)Cl,C3H3ClF4,C3H3Cl1F4,148.9786607,EPA_Dashboard
FC(CCl)C(F)(F)F,C3H3ClF4,C3H3Cl1F4,148.9786607,EPA_Dashboard
FC(F)C(F)(F)CCl,C3H3ClF4,C3H3Cl1F4,148.9786607,EPA_Dashboard
CC(F)(Cl)C(F)(F)F,C3H3ClF4,C3H3Cl1F4,148.9786607,EPA_Dashboard
FC1(F)C(F)(F)C1(F)F,C3F6,C3F6,148.9831393,EPA_Dashboard
FCOC(F)(F)C(F)F,C3H3F5O,C3H3F5O1,149.0031258,EPA_Dashboard
FCOC(F)C(F)(F)F,C3H3F5O,C3H3F5O1,149.0031258,EPA_Dashboard
OC(F)(F)C(F)(F)CF,C3H3F5O,C3H3F5O1,149.0031258,EPA_Dashboard
FCC(F)(F)OC(F)F,C3H3F5O,C3H3F5O1,149.0031258,EPA_Dashboard
COC(F)(F)C(F)(F)F,C3H3F5O,C3H3F5O1,149.0031258,EPA_Dashboard
CC(F)(F)OC(F)(F)F,C3H3F5O,C3H3F5O1,149.0031258,EPA_Dashboard
[O]OC(F)(F)C(F)(F)F,C2F5O2,C2F5O2,149.9745653,EPA_Dashboard
FC(F)OC(F)(F)Cl,C2HClF4O,C2H1Cl1F4O1,150.9579252,EPA_Dashboard
N#CC(F)(F)C(F)(F)C#N,C4F4N2,C4F4N2,150.9924809,EPA_Dashboard
FC(F)(F)CC(F)(F)F,C3H2F6,C3H2F6,150.9987894,EPA_Dashboard
FCC(F)(F)C(F)(F)F,C3H2F6,C3H2F6,150.9987894,EPA_Dashboard
FC(F)C(F)(F)C(F)F,C3H2F6,C3H2F6,150.9987894,EPA_Dashboard
C=C1C(=C)C(F)(F)C1(F)F,C6H4F4,C6H4F4,151.017633,EPA_Dashboard
N#CC1CC(F)(F)C1(F)F,C5H3F4N,C5H3F4N1,152.012882,EPA_Dashboard
FC(F)(F)C(F)(F)Cl,C2ClF5,C2Cl1F5,152.9535888,EPA_Dashboard
FC(F)(F)OC(F)(F)F,C2F6O,C2F6O1,152.9780539,EPA_Dashboard
C=CC(F)(F)C(F)(F)C=C,C6H6F4,C6H6F4,153.0332831,EPA_Dashboard
C=CC1CC(F)(F)C1(F)F,C6H6F4,C6H6F4,153.0332831,EPA_Dashboard
O=C1C(=O)C(F)(F)C1(F)F,C4F4O2,C4F4O2,154.9761621,EPA_Dashboard
C=C=COC(F)(F)C(F)F,C5H4F4O,C5H4F4O1,155.0125476,EPA_Dashboard
CC1C(C)C(F)(F)C1(F)F,C6H8F4,C6H8F4,155.0489331,EPA_Dashboard
COC(F)(F)C(F)(F)C#N,C4H3F4NO,C4H3F4N1O1,156.0077966,EPA_Dashboard
CN(C)C=C(F)C(F)(F)F,C5H7F4N,C5H7F4N1,156.0441821,EPA_Dashboard
O=C1OCC(F)(F)C1(F)F,C4H2F4O2,C4H2F4O2,156.9918122,EPA_Dashboard
O=C(O)C1C(F)(F)C1(F)F,C4H2F4O2,C4H2F4O2,156.9918122,EPA_Dashboard
