PeakID,Title,Scans,RT left(min),RT (min),RT right (min),Precursor m/z,Height,Area,Model masses,Adduct,Isotope,Comment,Reference RT,Reference m/z,Formula,Ontology,InChIKey,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,RT similarity,Dot product,Reverse dot product,Fragment presence %,Total score,S/N,MS1 isotopes,MSMS spectrum
1,Unknown,15,0.00595,0.05748333,0.0859,365.9739,1537891.375,6806356.5,,[M-H]-,M + 0,,,,,,,,999,FALSE,FALSE,FALSE,,,,,,4.393064,365.97391:389738 366.97699:29129 367.35739:38727 368.97733:274732 369.97922:20964,56.6819:4711 63.37304:4142 71.68017:4789 79.51485:4470 84.98885:8949 102.93521:5830 113.86909:5026 159.74561:4954 178.14888:4589 230.98462:6584 272.74301:5652
14,Unknown,327,0.9171166,0.9558833,1.07045,232.0947,1910684.5,10196979,,[M-H]-,M + 0,,,,,,,,999,FALSE,FALSE,FALSE,,,,,,17.64002,232.09465:491691 232.1701:29687 233.10335:190255 233.11838:29274 233.15465:2116122 234.10645:14590 234.14893:14840 234.15741:286804 234.98033:30928 235.06149:14858 235.13329:312913 235.17007:2676691 236.1412:406883 236.17363:390951,64.27693:3793 81.03329:4535 83.04859:21958 83.05321:3979 97.20695:3723 145.04904:4315 194.13954:3984 218.53563:4292 232.14438:5209 232.16786:6561
46,Unknown,346,0.9321667,1.012617,1.110583,249.0403,17804660,40783128,,[M-H]-,M + 0,,,,,,,,999,FALSE,FALSE,FALSE,,,,,,162.1064,248.58244:116256 248.90079:54961 248.93317:43999 248.93968:22477 249.03372:140305 249.04025:16673616 249.11394:38532 249.14378:20210 249.15311:81529 249.18668:48232 249.57982:18702 249.90826:202182 249.95798:31206 249.97853:161643 250.04424:1735936 250.06203:31675 250.15794:64541 250.97592:23833 251.03618:610675 251.04608:92128 251.07495:22016 251.09288:30833 251.12968:63133 251.16539:70291 252.03995:100392 252.88747:47666 252.94852:25085 252.99335:23655 253.02962:19283 253.05443:28929 253.09076:177585 253.14487:98757 253.18143:23685 253.91956:23384 254.0136:26920,77.57391:4262 79.95632:26227 80.96346:11648 96.95835:4186 133.81369:4360 191.285:4927 201.99815:4760 209.02763:16922 212.97232:4417 219.17436:8876 229.03159:20954 235.16948:15414 249.03969:114967 249.15193:13432 249.18541:26919
59,Unknown,346,0.9829333,1.012617,1.10455,346.9758,2973989,9491661,,[M-H]-,M + 0,,,,,,,,999,FALSE,FALSE,FALSE,,,,,,32.96011,346.93451:47176 346.96362:91380 346.9758:2655094 347.05865:39949 347.09467:60383 347.13379:30773 347.15067:32509 347.17059:52910 347.18747:47497 347.20886:817005 347.96957:145569 347.97882:188677 348.21124:142121 348.97992:33384 349.07425:21883 349.11136:42180 349.1485:32759 349.16696:72344 349.18716:30678 349.20264:48958 350.11581:19499 350.93591:55484 350.94839:32072 350.99518:37867 351.04501:509027 351.09219:58843 351.12619:30380 351.18243:110631 351.21826:25958,52.05759:1096 59.01239:1793 67.08376:883 70.39845:888 71.43043:823 75.00706:1794 77.10684:830 79.95625:23673 80.96394:13591 81.95083:902 82.95852:1071 96.95835:3579 98.7523:1016 101.02277:1944 130.99031:3823 168.98712:2949 180.9881:11719 200.00343:1472 200.98627:1412 201.99269:2004 203.00122:1573 216.03242:1539 222.97473:1221 230.98462:8073 233.90894:1046 254.0191:1181 280.98254:36196 289.20444:1385 329.19437:3426 346.97488:23460 347.20923:10526
68,Unknown,350,0.94115,1.021233,1.121733,189.9786,4657714.5,15928514,,[M-H]-,M + 0,,,,,,,,999,FALSE,FALSE,FALSE,,,,,,35.75937,189.96379:23390 189.97864:1277170 190.96417:24963 190.98232:34496 191.95859:20266 192.95827:45505 193.06128:24677 193.08672:37154 193.97218:48506 194.9276:150897 194.95473:19329,56.57398:3669 59.01232:33043 59.82079:3684 73.97289:3537 75.01876:3496 75.66759:3225 76.85572:3553 77.57197:3478 79.95583:10865 130.66104:3800 147.96712:14368 162.9549:6400 184.32201:4285 189.97937:8485 189.99924:7739
69,Unknown,350,0.9829333,1.021233,1.110583,217.0023,9748546,34158452,,[M-H]-,M + 0,,,,,,,,999,FALSE,FALSE,FALSE,,,,,,32.62389,216.90919:141873 216.96524:32239 217.00233:2430008 217.10777:43312 218.00621:158508 218.16748:218040 218.98592:94464 219.00667:25319 219.17503:12794207 219.26204:36397 220.14619:346553 220.17865:1990172 220.99522:33927 221.11758:19454 221.14931:67346 221.18161:115530 221.9832:23261,53.17134:3726 56.43017:3910 59.0124:164207 60.00201:4521 62.39215:3637 79.95638:31901 80.96346:13330 83.0489:6344 98.33292:4222 120.23595:3574 174.99127:54720 189.69655:3727 200.98627:7313 201.99271:5847 217.00247:56080
83,Unknown,391,1.021233,1.136483,1.265367,142.9803,851685.9375,6552999,,[M-H]-,M + 0,,,,,,,,999,FALSE,FALSE,FALSE,,,,,,8.527388,142.98045:276391 143.03473:24788 143.07091:72268 143.10742:171532 143.48216:15331 143.90115:16504 143.97836:22057 143.98833:5605 144.1105:13043 144.90878:32138 144.96922:13487 144.99165:42273 144.99606:104929 145.01393:7210 145.02925:7096 145.0504:21162 145.08643:12822 145.49754:14219 145.96768:13922 145.99403:8677 146.02454:49985 146.9752:33192 146.98116:13379 146.98676:16543 147.01167:17186 147.04498:5873 147.47293:42736 147.50778:7315,57.33429:2810 58.57156:2838 59.98217:2927 59.98526:3283 79.95631:41678 80.77721:2931 84.62956:3134 97.06438:4342 103.98624:3048 117.7504:3463 142.97902:15715 143.06961:4149 143.10736:33544
145,Unknown,400,1.050117,1.161833,1.305417,231.9923,1922547,10270195,,[M-H]-,M + 0,,,,,,,,999,FALSE,FALSE,FALSE,,,,,,13.72776,231.93199:28127 231.94791:12503 231.99228:706241 232.00906:23663 232.0627:11737 232.47484:13498 232.50258:15252 232.94287:17196 232.95888:31638 232.96985:10352 232.97659:66562 232.99092:12301 232.99574:43548 233.01285:11844 233.10397:22486 233.13603:10017 233.1554:386341 233.48335:16918 233.49266:17773 233.64247:23823 233.92882:42355 233.94508:21054 233.95442:12566 233.96629:16735 233.98837:30057 233.99728:31534 234.00766:88838 234.02487:12757 234.15816:44526 234.47289:17572 234.48991:22503 234.88799:108299 234.94354:11403 234.96574:11460 234.976:13702 234.99222:326121 235.13408:26622 235.17085:92220 235.45845:12015 235.48073:12302 235.50215:16413 235.95528:11060 235.98689:36130 235.9949:33251 236.02405:12883 236.17374:17036 236.48732:18981 236.50026:16535 236.88533:79426 236.90338:114923 236.94502:9546 236.95367:20183 236.9709:54810,55.01706:3143 66.03355:8859 66.53422:866 79.95626:63868 80.04881:4583 80.96395:45487 81.95152:2265 90.03331:1937 96.95882:57273 99.92426:2097 100.28239:1056 106.97913:3510 108.04435:83415 109.0284:1128 110.02345:6761 118.02842:1032 122.25687:941 124.0391:3836 136.03896:1430 142.98036:2666 149.98492:1698 152.03394:25451 160.00444:1483 160.039:1375 188.00078:16312 188.07149:1280 191.96431:1111 200.00075:2083 200.98625:1249 201.00789:1076 211.99988:1021 213.98112:2178 216.03242:1217 216.9812:2113 217.00243:1908 227.99716:1024 231.98961:18095 232.02698:2027
177,Unknown,414,1.129867,1.197967,1.265367,201.0252,1858573.75,5047169.5,,[M-H]-,M + 0,,,,,,,,999,FALSE,FALSE,FALSE,,,,,,16.51217,200.92653:47552 200.98589:105056 201.00998:76577 201.02516:841422 201.14891:12978 201.80194:25544 201.88898:18766 201.98152:14621 201.98969:12279 201.99358:123926 202.01759:65726 202.02577:80787 202.24861:13175 202.49162:28766 202.91454:31547 202.98718:3515228 203.00099:82507 203.02304:85508 203.47705:19094 203.88097:29690 203.98268:172917 203.99052:198901 203.99561:16719 204.98062:91306 204.98856:124339 205.01292:16908 205.15977:142325 205.45154:80811 205.49055:44354 205.97406:19702 205.99649:15643,59.01239:238798 61.23203:3802 76.14556:3580 79.95638:47876 80.96388:23538 91.45248:3521 93.033:10322 100.15964:3823 109.02875:20999 137.02249:4540 157.03445:14910 159.01276:11869 167.90472:5787 200.98729:23593 201.00789:21367 201.02411:30555 201.14853:5340
182,Unknown,417,1.145517,1.205317,1.287567,174.992,983890.125,3780808.75,,[M-H]-,M + 0,found in higher mz's MsMs_194; found in higher mz's MsMs_238; found in higher mz's MsMs_186; found in higher mz's MsMs_215,,,,,,,999,FALSE,FALSE,FALSE,,,,,,12.21626,174.87624:22312 174.92834:28076 174.93712:47730 174.95139:183464 174.95523:139285 174.97005:25097 174.99199:318081 175.87288:128604 175.9632:1411280 176.47519:31064 176.88063:71817 176.94922:54629 176.95869:48285 176.96661:61683 176.97322:30768 176.98047:254409 176.9855:49574 177.09163:38963 177.84396:75035 177.8687:35532 177.98125:36662 178.94225:1415360 178.95003:112036 178.97742:87921 179.0712:30981 179.84132:36834 179.94547:40230,59.01239:3949 62.05927:3081 63.3257:3183 77.01381:3963 79.9563:94976 80.96394:196977 82.95924:12358 85.0461:3319 100.92653:4408 108.95824:9874 130.93771:11949 130.96088:107770 143.46648:4092 156.92625:5937 174.93631:22634 174.95168:35850
